tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo ;term;rec;ron;multi
1001;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;1;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1002;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;2;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1003;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;3;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1004;09/01/2020;27/09/2020;36008;0;0;3992;40000;EFECTIVOS ;;due;4;8;0;2;yes;0;%;Yopal ;Television ;1Mega;0;no;Activo;0
1005;09/01/2020;27/09/2020;21008;0;0;3992;25000;EFECTIVOS ;;due;5;8;0;1;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0
1006;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;6;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1007;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;7;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1008;09/01/2020;27/09/2020;101008;0;0;3992;105000;EFECTIVOS ;;due;8;8;0;2;Yes;0;%;Yopal ;Television ;10Megas;0;no;Activo;0
1009;09/01/2020;27/09/2020;45000;0;0;;45000;EFECTIVOS ;;due;9;8;0;1;No;0;%;Yopal ;No;3Megas;0;no;Activo;0
1010;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;10;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1011;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;11;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1012;09/01/2020;27/09/2020;61008;0;0;3992;0;EFECTIVOS ;;paid;12;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1013;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;13;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1014;09/01/2020;27/09/2020;61008;0;0;3992;0;EFECTIVOS ;;paid;14;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1015;09/01/2020;27/09/2020;61008;0;0;3992;22667;EFECTIVOS ;;due;15;8;42333;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1016;09/01/2020;27/09/2020;61008;0;0;3992;84190;EFECTIVOS ;;due;16;8;;3;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1017;09/01/2020;27/09/2020;21008;0;0;3992;25000;EFECTIVOS ;;due;17;8;0;1;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0
