ID;DEPARTAMENTO;CIUDAD;LOCALIDAD;BARRIO
3;1;1;2;30
4;1;1;2;32
5;1;1;2;17
12;1;1;2;31
13;1;1;2;17
16;1;1;2;32
19;1;1;2;23
27;1;1;2;12
28;1;1;2;31
35;1;1;3;38
41;1;1;2;32
46;1;1;2;32
48;1;1;2;32
51;1;1;2;31
55;1;1;2;32
56;1;1;2;17
57;1;1;2;29
60;1;1;2;26
67;1;1;2;32
68;1;1;2;31
71;1;1;2;17
73;1;1;2;32
74;1;1;2;30
75;1;1;2;17
79;1;1;2;17
81;1;1;2;17
82;1;1;2;23
84;1;1;2;12
91;1;1;2;31
95;1;1;3;41
97;1;1;2;26
99;1;1;2;31
101;1;1;2;17
105;1;1;2;32
109;1;1;2;17
110;1;1;2;31
113;1;1;2;23
115;1;1;2;17
130;1;1;2;17
137;1;1;2;12
139;1;1;2;32
141;1;1;2;32
143;1;1;2;17
144;1;1;2;31
151;1;1;2;26
154;1;1;2;31
156;1;1;2;32
157;1;1;2;17
158;1;1;2;31
159;1;1;2;23
162;1;1;2;32
163;1;1;2;31
165;1;1;2;26
167;1;1;2;23
171;1;1;2;31
174;1;1;2;23
176;1;1;2;17
177;1;1;2;32
185;1;1;2;31
186;1;1;2;26
187;1;1;2;26
201;1;1;2;12
203;1;1;2;30
204;1;1;2;12
206;1;1;2;26
212;1;1;2;32
218;1;1;2;31
221;1;1;3;42
223;1;1;2;23
224;1;1;2;26
229;1;1;2;27
233;1;1;2;17
237;1;1;2;17
239;1;1;2;26
240;1;1;2;32
243;1;1;2;31
244;1;1;2;17
247;1;1;2;17
253;1;1;2;31
254;1;1;2;17
256;1;1;2;17
258;1;1;2;32
259;1;1;3;38
261;1;1;2;32
263;1;1;2;23
265;1;1;3;38
267;1;1;2;12
268;1;1;2;32
269;1;1;2;32
275;1;1;2;23
277;1;1;2;32
278;1;1;2;32
279;1;1;2;31
280;1;1;2;26
284;1;1;2;30
288;1;1;2;17
295;1;1;2;17
298;1;1;2;26
299;1;1;2;26
305;1;1;2;12
307;1;1;2;31
308;1;1;2;17
314;1;1;2;12
315;1;1;2;17
322;1;1;2;23
325;1;1;2;26
327;1;1;2;17
330;1;1;2;17
331;1;1;2;31
334;1;1;2;17
335;1;1;2;26
336;1;1;2;31
338;1;1;2;17
341;1;1;2;26
343;1;1;2;17
344;1;1;2;12
350;1;1;2;26
352;1;1;2;32
363;1;1;2;17
365;1;1;2;26
367;1;1;2;32
368;1;1;2;17
369;1;1;2;17
370;1;1;2;26
372;1;1;2;26
373;1;1;2;17
374;1;1;2;31
379;1;1;2;23
383;1;1;2;28
384;1;1;2;26
385;1;1;2;31
388;1;1;2;31
390;1;1;2;17
391;1;1;2;31
392;1;1;2;32
393;1;1;2;17
397;1;1;2;17
398;1;1;3;42
403;1;1;2;28
409;1;1;2;26
414;1;1;2;12
415;1;1;2;32
416;1;1;2;17
417;1;1;2;31
427;1;1;2;31
429;1;1;2;17
436;1;1;2;31
439;1;1;2;17
445;1;1;2;17
447;1;1;2;17
448;1;1;2;17
454;1;1;2;32
455;1;1;2;23
463;1;1;2;17
466;1;1;2;32
468;1;1;2;32
474;1;1;2;26
477;1;1;2;29
478;1;1;2;30
479;1;1;2;29
480;1;1;2;17
481;1;1;2;32
484;1;1;3;38
485;1;1;2;17
489;1;1;2;17
505;1;1;2;17
506;1;1;2;28
507;1;1;2;27
510;1;1;2;17
511;1;1;2;17
512;1;1;2;17
515;1;1;2;17
516;1;1;2;30
518;1;1;2;17
524;1;1;2;31
531;1;1;2;26
533;1;1;2;32
538;1;1;2;26
540;1;1;2;31
544;1;1;2;32
546;1;1;2;31
547;1;1;2;32
553;1;1;2;32
555;1;1;2;31
566;1;1;2;26
567;1;1;2;26
568;1;1;2;17
571;1;1;2;17
578;1;1;2;12
593;1;1;2;26
594;1;1;2;23
609;1;1;2;17
612;1;1;2;17
613;1;1;2;12
635;1;1;2;17
648;1;1;2;31
649;1;1;2;26
656;1;1;2;26
658;1;1;2;28
661;1;1;2;17
663;1;1;2;32
666;1;1;2;32
672;1;1;2;23
674;1;1;2;31
676;1;1;2;17
684;1;1;2;17
