tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo ;term;rec;ron;multi;saldo anterior 
1001;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;1;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1002;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;2;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1003;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;3;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1004;9/01/2020;27/09/2020;36008;0;0;3992;40000;;;due;4;8;0;2;yes;0;%;Yopal ;Television ;1Mega;0;no;Activo;0;0
1005;9/01/2020;27/09/2020;21008;0;0;3992;25000;;;due;5;8;0;1;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0;0
1006;9/01/2020;27/09/2020;51008;0;0;3992;110000;;;due;6;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;55000
1007;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;7;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1008;9/01/2020;27/09/2020;101008;0;0;3992;210000;;;due;8;8;0;2;Yes;0;%;Yopal ;Television ;10Megas;0;no;Activo;0;105000
1009;9/01/2020;27/09/2020;45000;0;0;0;45000;;;due;9;8;0;1;No;0;%;Yopal ;No;3Megas;0;no;Activo;0;0
1010;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;10;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1011;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;11;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1012;9/01/2020;27/09/2020;61008;0;0;3992;65000;cash;;paid;12;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
