CODIGO;PROVEDOR;ALMACEN;MAC;SERIAL;FECHA LLEGADA;FECHA INSTALACION;MARCA;ASIGNADO A:;ESTADO;OBSERVACION
999;RECOGIDO;4;E0:67:B3:27:B6:89;BA1305-1803000220;;04/01/2020;EOC;2400;BUENO;INSTALACION 
1101;RECOGIDO;4;E0:67:B3:A3:83:13;BA1305-1901002167;23/01/2020;15/05/2020;WIFI;3281;BUENO;INSTALACION 
1102;RECOGIDO;4;E8:9F:EC:06:A2:35;290100893540608;23/01/2020;24/01/2020;KINTYPE;2091;MALO;CAMBIO 
1103;RECOGIDO;4;E067B3A38390;BA1305-1901002183;23/01/2020;25/01/2020;WIFI;50218;BUENO;INSTALACION 
1104;RECOGIDO;4;E067B327BE36;BA1305-1803333466;23/01/2020;25/01/2020;WIFI;1133;BUENO;INSTALACION 
1105;RECOGIDO;4;000F1E709EA0;271000788130011;23/01/2020;25/01/2020;KINTYPE;1481;BUENO;INSTALACION
1106;Dicelar;4;E0:67:B3:EE:C8:D0;BA1310-1911004477;27/01/2020;28/01/2020;WIFI;3151;BUENO;INSTALACION 
1107;Dicelar;4;E0:67:B3:EE:C8:CB;BA1310-1911004476;27/01/2020;04/08/2020;WIFI;3119;BUENO;INSTALACION 
1108;Dicelar;4;E0:67:B3:EE:C8:F3;BA1310-1911004484;27/01/2020;28/01/2020;WIFI;3147;BUENO;INSTALACION 
1109;Dicelar;4;E0:67:B3:EE:C8:E9;BA1310-1911004482;27/01/2020;29/01/2020;WIFI;3149;BUENO;INSTALACION 
1110;Dicelar;4;E0:67:B3:EE:C8:EE;BA1310-1911004483;27/01/2020;29/01/2020;WIFI;2932;BUENO;INSTALACION 
1111;Dicelar;4;E0:67:B3:EE:C8:99;BA1310-1911004466;27/01/2020;29/01/2020;WIFI;3150;BUENO;INSTALACION 
1112;Dicelar;4;E0:67:B3:EE:C8:94;BA1310-1911004465;27/01/2020;29/01/2020;WIFI;3152;BUENO;INSTALACION 
1113;Dicelar;4;E0:67:B3:EE:C8:E4;BA1310-1911004481;27/01/2020;29/01/2020;WIFI;1138;BUENO;INSTALACION 
1114;Dicelar;4;E0:67:B3:EE:C8:DF;BA1310-1911004480;27/01/2020;29/01/2020;WIFI;2687;BUENO;INSTALACION 
1115;Dicelar;4;E0:67:B3:EE:C8:D0;BA1310-1911004479;27/01/2020;28/01/2020;WIFI;1980;BUENO;CAMBIO UTP
1116;Dicelar;4;E0:67:B3:EE:C8:C1;BA1310-1911004474;27/01/2020;31/01/2020;WIFI;3153;BUENO;INSTALACION 
1117;Dicelar;4;E0:67:B3:EE:C8:BC;BA1310-1911004473;27/01/2020;04/05/2020;WIFI;3263;BUENO;INSTALACION 
1118;Dicelar;4;E0:67:B3:EE:C8:9F;BA1310-1911004467;27/01/2020;04/02/2020;WIFI;3158;BUENO;INSTALACION 
1119;Dicelar;4;E0:67:B3:EE:C8:C6;BA1310-1911004475;27/01/2020;01/09/2020;WIFI;3376;MALO;CAMBIO
1120;Dicelar;4;E0:67:B3:EE:C8:D5;BA1310-1911004478;27/01/2020;06/08/2020;WIFI;3409;BUENO;INSTALACION 
1121;Dicelar;4;E0:67:B3:EE:C8:B7;BA1310-1911004472;27/01/2020;01/02/2020;WIFI;869;BUENO;INSTALACION 
1122;Dicelar;4;E0:67:B3:EE:C8:B2;BA1310-1911004471;27/01/2020;02/04/2020;WIFI;3215;BUENO;INSTALACION 
1123;Dicelar;4;E0:67:B3:EE:C8:A8;BA1310-1911004469;27/01/2020;19/03/2020;WIFI;3203;BUENO;INSTALACION 
1124;Dicelar;4;E0:67:B3:EE:C8:A3;BA1310-1911004468;27/01/2020;22/09/2020;WIFI;3488;BUENO;INSTALACION 
1125;Dicelar;4;E0:67:B3:EE:C8:AD;BA1310-1911004470;27/01/2020;07/02/2020;WIFI;3161;BUENO;INSTALACION 
1126;HESSAM;4;E0:67:B3:EE:77:22;BA1310-1911000297;08/01/2020;11/02/2020;WIFI;3163;BUENO;INSTALACION 
1127;HESSAM;4;E0:67:B3:EE:77:33;BA1310-1911000299;08/01/2020;21/05/2020;WIFI;50275;MALO;CAMBIO
